datetime,portfolio_value,cash,positions,return
2022-09-06 08:30:00-04:00,112714.14090454101,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",-0.012512887303457676
2022-09-06 09:30:00-04:00,112714.14090454101,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-09-06 09:30:00-04:00,112714.14090454101,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-09-07 09:30:00-04:00,113433.34409057617,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.006380771571902866
2022-09-08 09:30:00-04:00,114499.0905505371,56101.79196655273,"[{'asset': USD, 'quantity': 56101.79196655273}, {'asset': SPY, 'quantity': 145.0}]",0.009395354324650329
2022-09-09 09:30:00-04:00,114499.0905505371,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",0.0
2022-09-10 09:30:00-04:00,114499.0905505371,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",0.0
2022-09-10 09:29:00-04:00,114499.0905505371,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",0.0
2022-09-12 08:30:00-04:00,114303.43976318359,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",-0.001708754073178942
2022-09-12 09:30:00-04:00,114303.43976318359,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",0.0
2022-09-12 09:30:00-04:00,114303.43976318359,27909.99265014648,"[{'asset': USD, 'quantity': 27909.99265014648}, {'asset': SPY, 'quantity': 215.0}]",0.0
2022-09-13 09:30:00-04:00,112463.44342529296,13845.943120117183,"[{'asset': USD, 'quantity': 13845.943120117183}, {'asset': SPY, 'quantity': 250.0}]",-0.016097471272104924
2022-09-14 09:30:00-04:00,112085.94098388671,13845.943120117183,"[{'asset': USD, 'quantity': 13845.943120117183}, {'asset': SPY, 'quantity': 250.0}]",-0.0033566679972503177
2022-09-15 09:30:00-04:00,109880.94678222656,13845.943120117183,"[{'asset': USD, 'quantity': 13845.943120117183}, {'asset': SPY, 'quantity': 250.0}]",-0.019672353038256096
2022-09-16 09:30:00-04:00,109773.35510742187,40628.15247070312,"[{'asset': USD, 'quantity': 40628.15247070312}, {'asset': SPY, 'quantity': 180.0}]",-0.0009791658877669196
2022-09-17 09:30:00-04:00,109773.35510742187,40628.15247070312,"[{'asset': USD, 'quantity': 40628.15247070312}, {'asset': SPY, 'quantity': 180.0}]",0.0
2022-09-17 09:29:00-04:00,109773.35510742187,40628.15247070312,"[{'asset': USD, 'quantity': 40628.15247070312}, {'asset': SPY, 'quantity': 180.0}]",0.0
2022-09-19 08:30:00-04:00,109938.95203125,40628.15247070312,"[{'asset': USD, 'quantity': 40628.15247070312}, {'asset': SPY, 'quantity': 180.0}]",0.001508534777552084
2022-09-19 09:30:00-04:00,109822.69917022705,53988.99952423095,"[{'asset': USD, 'quantity': 53988.99952423095}, {'asset': SPY, 'quantity': 145.0}]",-0.0010574310458216774
2022-09-19 09:30:00-04:00,109822.69917022705,53988.99952423095,"[{'asset': USD, 'quantity': 53988.99952423095}, {'asset': SPY, 'quantity': 145.0}]",0.0
2022-09-20 09:30:00-04:00,109974.94740020751,53988.99952423095,"[{'asset': USD, 'quantity': 53988.99952423095}, {'asset': SPY, 'quantity': 145.0}]",0.0013863093070083377
2022-09-21 09:30:00-04:00,108593.09757720947,53988.99952423095,"[{'asset': USD, 'quantity': 53988.99952423095}, {'asset': SPY, 'quantity': 145.0}]",-0.012565132838567195
2022-09-22 09:30:00-04:00,107723.09757720947,53988.99952423095,"[{'asset': USD, 'quantity': 53988.99952423095}, {'asset': SPY, 'quantity': 145.0}]",-0.00801155892418881
2022-09-23 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",-0.0035986438847747104
2022-09-24 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-24 09:29:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-26 08:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-26 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-26 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-27 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-28 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-29 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-09-30 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-01 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-01 09:29:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-03 08:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-03 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-03 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
2022-10-04 09:30:00-04:00,107335.44051086425,107335.44051086425,"[{'asset': USD, 'quantity': 107335.44051086425}]",0.0
